2023-03-08 00:16:56,624 INFO RECEIVED MESSAGE:            250, global time: 49, local logical clock time: 261, message queue length: 6
2023-03-08 00:16:56,630 INFO RECEIVED MESSAGE:            251, global time: 50, local logical clock time: 263, message queue length: 6
2023-03-08 00:16:56,636 INFO RECEIVED MESSAGE:            253, global time: 50, local logical clock time: 264, message queue length: 5
2023-03-08 00:16:56,642 INFO RECEIVED MESSAGE:            256, global time: 51, local logical clock time: 268, message queue length: 5
2023-03-08 00:16:56,648 INFO RECEIVED MESSAGE:            257, global time: 51, local logical clock time: 271, message queue length: 6
2023-03-08 00:16:56,654 INFO RECEIVED MESSAGE:            258, global time: 52, local logical clock time: 274, message queue length: 6
2023-03-08 00:16:56,659 INFO RECEIVED MESSAGE:            260, global time: 52, local logical clock time: 275, message queue length: 5
2023-03-08 00:16:56,665 INFO RECEIVED MESSAGE:            262, global time: 53, local logical clock time: 277, message queue length: 5
2023-03-08 00:16:56,671 INFO RECEIVED MESSAGE:            267, global time: 53, local logical clock time: 281, message queue length: 5
2023-03-08 00:16:56,677 INFO RECEIVED MESSAGE:            269, global time: 54, local logical clock time: 283, message queue length: 5
2023-03-08 00:16:56,683 INFO RECEIVED MESSAGE:            271, global time: 54, local logical clock time: 286, message queue length: 5
2023-03-08 00:16:56,689 INFO RECEIVED MESSAGE:            273, global time: 55, local logical clock time: 288, message queue length: 5
2023-03-08 00:16:56,695 INFO RECEIVED MESSAGE:            276, global time: 55, local logical clock time: 293, message queue length: 6
2023-03-08 00:16:56,700 INFO RECEIVED MESSAGE:            280, global time: 56, local logical clock time: 295, message queue length: 6
2023-03-08 00:16:56,706 INFO RECEIVED MESSAGE:            282, global time: 56, local logical clock time: 296, message queue length: 5
2023-03-08 00:16:56,712 INFO RECEIVED MESSAGE:            285, global time: 57, local logical clock time: 299, message queue length: 5
2023-03-08 00:16:56,718 INFO RECEIVED MESSAGE:            287, global time: 57, local logical clock time: 300, message queue length: 4
2023-03-08 00:16:56,724 INFO RECEIVED MESSAGE:            290, global time: 58, local logical clock time: 305, message queue length: 5
2023-03-08 00:16:56,729 INFO RECEIVED MESSAGE:            292, global time: 58, local logical clock time: 307, message queue length: 5
2023-03-08 00:16:56,735 INFO RECEIVED MESSAGE:            294, global time: 59, local logical clock time: 311, message queue length: 6
2023-03-08 00:16:56,741 INFO RECEIVED MESSAGE:            298, global time: 59, local logical clock time: 312, message queue length: 6
2023-03-08 00:16:56,747 INFO RECEIVED MESSAGE:            303, global time: 60, local logical clock time: 315, message queue length: 6
2023-03-08 00:16:56,753 INFO RECEIVED MESSAGE:            304, global time: 60, local logical clock time: 319, message queue length: 7
